order_id,product_id,store_id,product_name,city,date_of_sale,quantity,sales_amount
99,87,8,Headphones,Dallas,2022-04-13,1,19.29
60,822,2,Keyboard,Chicago,2024-02-05,2,36.21
1,427,1,Laptop,Phoenix,2021-02-25,8,68.76
24,929,2,Laptop,San Diego,2024-01-09,8,25.71
34,320,2,Headphones,Phoenix,2023-04-23,1,20.39
67,667,10,Scanner,Philadelphia,2022-03-16,4,45.25
2,235,6,Webcam,San Antonio,2022-03-19,5,17.65
96,151,6,Mouse,Phoenix,2022-10-04,7,50.58
23,463,4,Monitor,Phoenix,2023-12-30,4,60.2
57,929,6,Headphones,San Diego,2022-06-11,7,21.4
50,932,1,Headphones,Philadelphia,2023-05-19,4,10.74
97,263,5,Smartphone,Phoenix,2022-08-02,2,15.29
53,75,8,Scanner,San Diego,2022-07-04,8,37.57
25,593,9,Printer,Los Angeles,2025-12-15,2,49.37
66,163,1,Headphones,Los Angeles,2022-03-10,10,13.5
56,593,9,Webcam,Chicago,2022-07-31,8,28.58
24,202,2,Webcam,Houston,2025-04-25,6,49.39
26,452,7,Smartphone,San Jose,2021-11-08,4,68.33
13,286,3,Webcam,San Jose,2021-05-03,1,12.6
17,348,10,Tablet,Los Angeles,2025-12-25,1,48.26
1,474,2,Headphones,Houston,2021-11-12,3,53.4
66,175,8,Headphones,Dallas,2023-08-18,10,55.56
5,277,9,Printer,New York,2023-12-08,2,26.97
39,708,4,Webcam,Houston,2025-04-03,9,72.11
51,539,9,Webcam,Phoenix,2022-05-12,3,18.87
40,787,1,Webcam,Chicago,2024-08-19,7,49.92
94,211,2,Printer,San Antonio,2023-08-16,8,13.6
57,936,2,Keyboard,Los Angeles,2022-09-06,7,64.48
95,768,7,Tablet,Los Angeles,2023-03-29,2,21.15
45,95,9,Monitor,San Antonio,2023-03-08,8,43.43
14,329,7,Keyboard,Los Angeles,2022-11-10,10,48.96
59,842,2,Webcam,Dallas,2024-04-17,6,46.76
56,841,3,Scanner,San Jose,2021-02-12,3,69.0
32,367,7,Headphones,Houston,2025-09-14,9,20.9
24,749,10,Smartphone,Philadelphia,2021-02-23,6,63.71
41,994,7,Tablet,Houston,2025-11-02,2,70.58
80,557,9,Keyboard,Los Angeles,2023-11-29,8,51.1
45,464,10,Tablet,San Jose,2023-05-28,8,71.25
70,740,10,Headphones,Chicago,2025-09-27,2,59.4
30,830,9,Monitor,Los Angeles,2023-08-05,9,60.94
99,611,10,Keyboard,Philadelphia,2023-05-04,3,68.28
22,472,7,Monitor,Chicago,2021-12-19,3,50.26
26,697,5,Scanner,San Diego,2021-10-05,8,46.56
75,475,10,Printer,San Diego,2022-05-02,1,19.8
75,179,2,Mouse,New York,2025-05-01,6,27.89
56,65,7,Mouse,San Diego,2024-10-31,6,35.97
28,996,9,Scanner,Dallas,2024-11-23,1,61.96
34,987,5,Webcam,San Antonio,2023-11-02,6,27.24
46,529,7,Tablet,San Antonio,2021-09-27,3,57.38
82,598,6,Monitor,Los Angeles,2024-01-18,4,34.69
81,634,2,Mouse,San Jose,2023-04-03,10,24.65
83,374,5,Tablet,Phoenix,2021-07-19,10,62.78
69,545,9,Laptop,Phoenix,2025-02-24,3,29.8
44,283,3,Mouse,San Antonio,2025-05-25,8,48.48
62,579,7,Keyboard,Dallas,2023-06-12,2,50.1
40,414,1,Keyboard,San Diego,2025-05-03,6,38.71
51,137,5,Headphones,Chicago,2022-06-26,9,71.5
34,392,6,Laptop,Chicago,2022-01-30,1,30.36
48,339,9,Printer,San Antonio,2023-04-01,7,38.39
2,657,2,Webcam,Chicago,2021-06-22,9,40.95
68,330,4,Laptop,New York,2026-01-07,10,27.14
18,824,5,Tablet,Houston,2021-04-26,6,53.87
